place,alpha-2,region,sub-region,cost_nomad,cost_coworking,cost_expat,coffee_in_cafe,cost_beer,places_to_work,free_wifi_available,internet_speed,freedom_score,peace_score,safety,fragile_states_index,press_freedom_index,female_friendly,lgbt_friendly,friendly_to_foreigners,racism,leisure,life_score,nightlife,weed
La Paz,BO,Americas,Latin America and the Caribbean,1557.0,252.5,884.0,1.08,1.08,0.4,0.4,2.0,0.4,0.4,0.2,78.5,31.78,0.4,0.4,0.8,0.8,0.6,0.42,0.6,0.0
Ramallah,PS,Asia,Western Asia,3082.0,142.97,1280.0,3.9,3.9,0.4,0.4,4.0,0.2,-4.67450871720061e-17,0.6,-3.205440286535536e-17,42.93,0.6,0.2,0.8,0.8,0.4,0.73,0.8,0.0
Lahore,PK,Asia,Southern Asia,1583.0,85.4,1868.0,0.95,0.95,0.4,0.4,5.0,0.2,0.2,0.6,101.7,48.52,0.2,0.4,0.6,0.8,0.6,0.37,0.4,0.0
Faisalabad,PK,Asia,Southern Asia,2577.0,28.58,678.0,4.15,4.15,0.4,0.4,2.0,0.2,0.2,0.4,101.7,48.52,0.2,0.2,0.4,0.2,0.2,0.26,0.2,0.0
Islamabad,PK,Asia,Southern Asia,1423.0,77.48,1258.0,0.95,0.95,0.4,0.2,2.0,0.2,0.2,0.4,101.7,48.52,0.2,0.2,0.4,0.8,0.4,0.26,0.2,0.0
Peshawar,PK,Asia,Southern Asia,4245.0,174.41,616.0,2.83,2.83,0.2,0.4,1.0,0.2,0.2,0.4,101.7,48.52,0.2,0.2,0.2,0.2,0.6,0.26,0.2,0.0
Rawalpindi,PK,Asia,Southern Asia,915.0,28.58,624.0,0.71,0.71,0.2,0.4,2.0,0.2,0.2,0.2,101.7,48.52,0.2,0.2,0.4,0.8,0.2,0.1,0.4,0.0
Gujranwala,PK,Asia,Southern Asia,1449.0,28.58,409.0,2.5,2.5,0.4,0.4,1.0,0.2,0.2,0.2,101.7,48.52,0.2,0.2,0.4,0.2,0.2,0.11,0.2,0.0
Karachi,PK,Asia,Southern Asia,3144.0,114.3,1106.0,2.38,2.38,0.4,0.4,3.0,0.2,0.2,0.2,101.7,48.52,0.2,0.2,0.6,0.8,0.2,0.12,0.4,0.0
Bahawalpur,PK,Asia,Southern Asia,2637.0,28.58,332.0,4.0,4.0,0.4,0.4,2.0,0.2,0.2,0.2,101.7,48.52,0.2,0.2,0.4,0.2,0.2,0.11,0.2,0.0
Managua,NI,Americas,Latin America and the Caribbean,1261.0,138.94,1026.0,1.82,1.82,0.6,0.2,2.0,0.6,0.4,0.6,79.0,28.82,0.6,0.6,0.8,0.0,0.4,0.63,0.4,0.0
Cairo,EG,Africa,Northern Africa,1352.0,54.6,706.0,0.96,0.96,0.8,0.4,3.0,0.2,0.2,0.6,90.2,54.45,0.2,0.2,0.8,0.6,0.6,0.48,0.6,0.0
Alexandria,EG,Africa,Northern Africa,2188.0,32.12,615.0,0.96,0.96,0.4,0.4,0.0,0.2,0.2,0.4,90.2,54.45,0.58,0.2,0.4,0.6,0.8,0.44,0.4,0.0
Port Said,EG,Africa,Northern Africa,2374.0,65.28,319.0,0.8,0.8,0.4,0.4,0.0,0.2,0.2,0.6,90.2,54.45,0.6,0.2,0.8,0.6,0.4,0.47,0.4,0.0
Dahab,EG,Africa,Northern Africa,1270.0,78.36,502.0,0.93,0.93,0.4,0.4,0.0,0.2,0.2,0.2,90.2,54.45,0.6,0.2,0.6,0.6,0.2,0.27,0.2,0.0
Ulaanbaatar,MN,Asia,Eastern Asia,1047.0,40.99,870.0,1.23,1.23,0.4,0.4,3.0,0.6,0.8,0.6,56.6,27.61,0.6,0.4,0.6,0.0,0.6,0.65,0.2,0.0
Antigua,GT,Americas,Latin America and the Caribbean,2209.0,106.58,1183.0,1.33,1.33,0.4,0.6,3.0,0.4,0.4,0.4,83.2,38.03,0.4,0.2,1.0,0.6,1.0,0.57,0.6,0.0
Guatemala City,GT,Americas,Latin America and the Caribbean,1913.0,121.9,1146.0,1.67,1.67,0.4,0.4,4.0,0.4,0.4,0.2,83.2,38.03,0.4,0.2,0.8,0.6,0.6,0.36,0.4,0.0
Yangon,MM,Asia,South-eastern Asia,947.0,120.11,1161.0,0.77,0.77,0.4,0.8,2.0,4.5311673304006644e-30,0.2,0.6,96.3,-5.623137229975346e-30,0.8,0.4,0.8,0.0,1.0,0.52,0.4,0.0
Bishkek,KG,Asia,Central Asia,880.0,43.66,611.0,0.54,0.54,1.0,1.0,2.0,0.4,3.1031486873743836e-30,0.6,2.127915128496451e-30,30.16,0.4,0.6,1.0,0.0,0.6,0.69,0.6,0.0
Vientiane,LA,Asia,South-eastern Asia,963.0,107.13,1012.0,1.53,1.53,0.4,0.2,1.0,0.2,0.4,0.6,84.4,71.58,0.6,0.6,1.0,0.4,0.2,0.56,0.2,0.0
Tunis,TN,Africa,Northern Africa,2233.0,349.69,1085.0,1.31,1.31,0.4,0.4,4.0,0.4,0.6,0.4,74.6,31.6,0.4,0.2,0.8,0.0,1.0,0.6,0.4,0.0
Duhok,IQ,Asia,Western Asia,2381.0,384.3,1646.0,0.0,0.0,0.4,0.4,3.0,-4.292798205838558e-17,-3.505881537900455e-17,0.6,-2.40408021490165e-17,5.3273233257284484e-17,0.8,0.4,0.6,0.6,0.6,0.72,0.4,0.0
Sulaymaniyah,IQ,Asia,Western Asia,3805.0,396.5,1881.0,3.61,3.61,0.4,0.4,3.0,-4.2927982058379205e-17,-3.505881537899935e-17,0.4,-2.4040802149012933e-17,5.3273233257276577e-17,0.2,0.4,0.8,0.6,0.8,0.67,0.6,0.0
Erbil,IQ,Asia,Western Asia,3706.0,183.0,2084.0,2.0,2.0,0.4,0.4,3.0,-4.2927982058379045e-17,-3.505881537899922e-17,0.4,-2.4040802149012843e-17,5.327323325727638e-17,0.2,0.2,0.8,0.6,0.4,0.61,0.4,0.0
Baghdad,IQ,Asia,Western Asia,2980.0,183.0,1453.0,2.0,2.0,0.4,0.4,3.0,0.2,0.2,0.2,104.7,54.35,0.2,0.2,0.4,0.6,0.2,0.09,0.2,0.0
Basra,IQ,Asia,Western Asia,10121.0,182.69,3749.0,0.0,0.0,0.2,0.2,2.0,0.2,0.2,0.2,104.7,54.35,0.2,0.2,0.6,0.2,0.4,0.12,0.2,0.0
Kinshasa,CD,Africa,Sub-Saharan Africa,3176.0,130.89,576.0,1.61,1.61,0.4,0.2,0.0,1.398154830849603e-29,1.1418578217665005e-29,0.4,7.830035806582016e-30,-1.7350973621901298e-29,0.2,0.4,0.4,0.0,0.6,0.64,0.6,0.0
Bamako,ML,Africa,Sub-Saharan Africa,3542.0,492.07,1423.0,4.3,4.3,0.4,0.2,8.0,0.4,0.2,0.4,95.2,39.83,0.4,0.2,0.4,0.4,0.4,0.4,0.2,0.0
Kathmandu,NP,Asia,Southern Asia,564.0,0.83,411.0,0.93,0.93,0.4,0.4,0.0,0.4,0.2,0.42,91.2,32.62,0.6,0.6,1.0,0.0,1.0,0.52,0.4,0.0
Algiers,DZ,Africa,Northern Africa,2422.0,79.21,955.0,1.62,1.62,0.4,0.4,3.0,0.2,0.4,0.25,78.3,41.69,0.2,0.2,0.4,0.4,0.6,0.6,0.4,0.0
Kigali,RW,Africa,Sub-Saharan Africa,1732.0,130.0,1272.0,1.5,1.5,0.6,0.8,2.0,0.2,0.2,0.6,91.3,54.61,0.8,0.4,0.8,0.0,0.6,0.5,0.6,0.0
Tashkent,UZ,Asia,Central Asia,1867.0,207.55,1048.0,2.55,2.55,0.4,0.2,1.0,0.2,0.4,0.6,83.5,61.15,0.6,0.2,0.8,0.0,0.6,0.54,0.6,0.0
Maputo,MZ,Africa,Sub-Saharan Africa,1965.0,197.49,1418.0,2.43,2.43,0.4,0.4,2.0,0.4,0.4,0.6,87.8,30.25,0.4,0.4,0.8,0.6,0.6,0.53,0.4,0.0
Brazzaville,CG,Africa,Sub-Saharan Africa,3520.0,0.03,1968.0,0.0,0.0,0.2,0.4,2.0,-2.8618654705580894e-17,-2.3372543585995287e-17,0.4,-1.6027201432672354e-17,3.551548883817788e-17,0.4,0.2,0.6,0.4,0.4,0.62,0.6,0.0
Antananarivo,YE,Asia,Western Asia,1285.0,255.3,926.0,1.18,1.18,0.4,0.4,0.0,0.6,0.4,0.8,84.2,27.04,0.4,0.2,0.4,0.6,0.4,0.5,0.2,0.0
Dar es Salaam,ET,Africa,Sub-Saharan Africa,1823.0,274.99,2545.0,1.49,1.49,0.2,0.4,2.0,0.6,0.4,0.4,81.8,28.65,0.4,0.2,0.6,0.0,0.4,0.5,0.4,0.0
Addis Ababa,ET,Africa,Sub-Saharan Africa,1493.0,246.33,1416.0,1.12,1.12,0.4,0.4,2.0,0.2,0.2,0.4,97.2,45.13,0.4,0.2,0.6,0.0,0.6,0.42,0.4,0.0
Kampala,UG,Africa,Sub-Saharan Africa,1203.0,126.98,771.0,1.13,1.13,0.8,0.0,3.0,0.4,0.2,0.4,97.7,32.58,0.4,0.4,0.6,0.0,0.6,0.4,0.4,0.0
Tegucigalpa,HN,Americas,Latin America and the Caribbean,2472.0,249.16,1330.0,1.98,1.98,0.2,0.2,5.0,0.2,0.4,0.2,79.8,44.62,0.6,0.2,0.4,0.6,0.4,0.41,0.2,0.0
Dushanbe,TJ,Asia,Central Asia,1850.0,51.58,595.0,0.63,0.63,0.6,0.6,4.0,0.2,0.4,0.4,83.8,50.34,0.6,0.4,0.6,0.0,0.6,0.5,0.8,0.0
Isfahan,IR,Asia,Southern Asia,2234.0,262.33,500.0,0.0,0.0,0.2,0.2,3.0,0.2,0.4,0.4,86.9,66.52,0.2,0.2,0.4,0.2,0.2,0.45,0.2,0.0
Tehran,IR,Asia,Southern Asia,5286.0,304.25,1540.0,4.99,4.99,0.4,0.4,2.0,0.2,0.4,0.6,86.9,66.52,0.2,0.2,0.8,0.4,0.8,0.55,0.2,0.0
Harare,ZW,Africa,Sub-Saharan Africa,2844.0,100.0,1624.0,5.0,5.0,0.2,0.2,2.0,0.2,0.2,0.4,100.5,40.41,0.2,0.2,0.6,0.0,0.6,0.31,0.4,0.0
Conakry,GN,Africa,Sub-Saharan Africa,1789.0,0.01,797.0,2.87,2.87,0.4,0.0,1.0,0.4,0.2,0.4,103.8,33.08,0.6,0.2,0.6,0.6,0.4,0.32,0.2,0.0
Yaounde,CM,Africa,Sub-Saharan Africa,2103.0,453.36,1366.0,1.28,1.28,0.4,0.4,3.0,0.2,0.2,0.4,97.8,40.53,0.2,0.2,0.4,0.2,0.2,0.35,0.4,0.0
Luanda,AO,Africa,Sub-Saharan Africa,4732.0,139.71,4020.0,6.58,6.58,1.0,0.6,5.0,0.4,0.2,0.2,90.5,39.89,0.4,0.6,1.0,0.0,0.8,0.28,0.6,0.0
Huambo,AO,Africa,Sub-Saharan Africa,4119.0,204.1,4104.0,0.84,0.84,0.2,0.4,1.0,0.4,0.2,0.4,90.5,39.89,0.6,0.2,0.6,0.4,0.4,0.39,0.6,0.0
Khartoum,SD,Africa,Northern Africa,780.0,125.24,1032.0,1.54,1.54,0.4,1.0,1.0,0.2,0.2,0.4,111.5,72.53,0.4,0.2,0.8,0.0,0.4,0.22,0.4,0.0
Caracas,VE,Americas,Latin America and the Caribbean,2507.0,200.0,1356.0,2.5,2.5,0.2,0.4,3.0,0.2,0.4,0.2,81.6,44.77,0.4,0.4,0.6,0.6,0.4,0.31,0.6,0.0
Port Moresby,PG,Oceania,Melanesia,3461.0,243.51,2463.0,3.0,3.0,0.2,0.2,2.0,0.6,0.4,0.2,86.2,25.81,0.2,0.2,0.4,0.0,0.4,0.31,0.2,0.0
Freetown,SL,Africa,Sub-Saharan Africa,2833.0,288.58,2013.0,2.04,2.04,0.4,0.2,0.0,0.6,0.2,0.2,91.0,29.94,0.2,0.2,0.4,0.4,0.2,0.22,0.2,0.0
Tripoli,LY,Africa,Northern Africa,2525.0,201.55,1148.0,2.48,2.48,0.4,0.4,3.0,0.2,0.2,0.2,96.4,57.89,0.2,0.2,0.8,0.0,0.4,0.22,0.2,0.0
Damascus,SY,Asia,Western Asia,1162.0,215.73,1079.0,2.65,2.65,0.4,0.2,2.0,0.2,0.2,0.2,110.8,81.35,0.2,0.2,0.2,0.0,0.2,0.01,0.2,0.0
Pyongyang,KP,Asia,Eastern Asia,5009.0,360.0,1441.0,5.0,5.0,0.2,0.2,1.0,0.2,0.2,0.2,93.9,83.76,0.2,0.2,0.2,0.0,0.2,0.14,0.4,0.0
